year,CO2 emissions (kt),CO2 emissions (metric tons per capita),Methane emissions (kt of CO2 equivalent),Nitrous oxide emissions (thousand metric tons of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",Total greenhouse gas emissions (kt of CO2 equivalent)
1970,35822.923,0.311951858,126665,51908.88,130405.8,339677.08
1971,38987.544,0.330621467,119293,49004.8,94658.48,294004.88
1972,43340.273,0.358007991,195338,79261.42,422459.5,733432.92
1973,49134.133,0.395470253,136928,56928.71,174340.9,409241.71
1974,51260.993,0.402156671,122570,50997.79,110213.86,329453.15
1975,53963.572,0.412805028,121065,50922.15,109630.88,329119.33
1976,61810.952,0.461238965,147762,60935.15,223327.6,482736.65
1977,82434.16,0.600297761,208874,84758.03,472386.6,833788.53
1978,93933.872,0.66778019,152697,61590.8,209279.1,502384.1
1979,95096.311,0.660145704,184092,75297.76,352071.6,696521.76
1980,94784.616,0.642649545,182595,78035.68,367114,714214.48
1981,100160.438,0.663407124,168865,73040.03,304127.2,637827.33
1982,105407.915,0.682224213,475987,200350.83,1719475.8,2488671.33
1983,104956.874,0.664097632,231184,103566.35,678492.6,1105446.85
1984,112184.531,0.694402068,163059,79821.59,373887.6,711331.59
1985,121245.688,0.734768041,166842,81516.05,398558.6,745108.85
1986,121740.733,0.722917275,227691,107260.93,677988,1117713.93
1987,123372.548,0.718414523,330665,152255.26,1172880,1760930.26
1988,132162.347,0.755209458,160742,81369.11,454053.8,813977.91
1989,130966.905,0.734806355,171724,81111.81,512904.7,888790.51
1990,149565.929,0.824341653,211531,100555.01,694624.4,1165113.41
1991,179730.671,0.973538,391055,169834.12,1479017,2212869.12
1992,202576.081,1.078874707,364640,160834.51,1394773,2097491.51
1993,218600.871,1.145229554,229782,108586.18,863827.8,1396509.98
1994,221413.46,1.141628552,357567,159513.29,1435668,2156232.29
1995,224941.114,1.14207743,200127,100091.87,801313.8,1315570.67
1996,253290.691,1.266992998,196284,99657.25,785779.5,1314060.75
1997,278658.997,1.373878882,912857,369901.3,3496158,5040841.3
1998,210210.775,1.021851684,276717,144254.16,514596,1191187.16
1999,241988.997,1.159992484,181938,98102.6,109210,668887.6
2000,263418.945,1.245241613,170032,94932.85,63047.8,622464.65
2001,294907.474,1.374818345,203333,96600.65,234594,849945.65
2002,306737.216,1.410233797,342524,151117.87,904534.3,1720445.17
2003,316792.13,1.436404464,216483,103095.15,237381,888646.15
2004,337635.358,1.509898209,250429,120281.55,340074,1060213.55
2005,341991.754,1.508480596,307454,162715.59,341334,1171042.59
2006,345119.705,1.50157677,515945,243198.72,1246981,2381293.72
2007,375544.804,1.611855395,214323,98407.02,61010.2,772946.22
2008,416560.199,1.763895139,215937,97405.72,76301.2,796581.92
2009,446409.579,1.865165403,302828,134060.43,304612,1148285.679
2010,428760.308,1.767907879,218937,91312.67,2555.69,744790.0241
2011,573379.454,2.333585374,221126.37,92225.7967,2555.69,763553.1649
2012,599539.832,2.408920148,223315.74,93138.9234,2555.69,780550.764